Port,Year,Week,Month,count_entrance,numofcall,avgservice_time,avgwaiting_time,ma4_count_entrance,ma4_numofcall,ma4_avgservice_time,ma4_avgwaiting_time,ma8_count_entrance,ma8_numofcall,ma8_avgservice_time,ma8_avgwaiting_time,ma12_count_entrance,ma12_numofcall,ma12_avgservice_time,ma12_avgwaiting_time,count_entrance_feeder,numofcall_feeder,avgservice_time_feed,avgwaiting_time_feed,ma4_count_entrance_feeder,ma4_numofcall_feeder,ma4_avgservice_time_feeder,ma4_avgwaiting_time_feeder,ma8_count_entrance_feeder,ma8_numofcall_feeder,ma8_avgservice_time_feeder,ma8_avgwaiting_time_feeder,ma12_count_entrance_feeder,ma12_numofcall_feeder,ma12_avgservice_time_feeder,ma12_avgwaiting_time_feeder,count_entrance_intermediate,numofcall_intermediate,avgservice_time_intermediate,avgwaiting_time_intermediate,ma4_count_entrance_intermediate,ma4_numofcall_intermediate,ma4_avgservice_time_intermediate,ma4_avgwaiting_time_intermediate,ma8_count_entrance_intermediate,ma8_numofcall_intermediate,ma8_avgservice_time_intermediate,ma8_avgwaiting_time_intermediate,ma12_count_entrance_intermediate,ma12_numofcall_intermediate,ma12_avgservice_time_intermediate,ma12_avgwaiting_time_intermediate,count_entrance_neopanamax,numofcall_neopanamax,avgservice_time_neopanamax,avgwaiting_time_neopanamax,ma4_count_entrance_neopanamax,ma4_numofcall_neopanamax,ma4_avgservice_time_neopanamax,ma4_avgwaiting_time_neopanamax,ma8_count_entrance_neopanamax,ma8_numofcall_neopanamax,ma8_avgservice_time_neopanamax,ma8_avgwaiting_time_neopanamax,ma12_count_entrance_neopanamax,ma12_numofcall_neopanamax,ma12_avgservice_time_neopanamax,ma12_avgwaiting_time_neopanamax,share_neopan,country,t,period_label,is_disruption,share_entrance_feeder,share_entrance_intermediate,share_entrance_neopanamax
Singapore,2019.0,1.0,1.0,383.0,492.0,46.0,17.0,,,,,,,,,,,,,182.0,230.0,74.0,29.0,,,,,,,,,,,,,121.0,167.0,20,7.0,,,,,,,,,,,,,80.0,95.0,21.99224653,2.01096875,,,,,,,,,,,,,19.0,Singapore,0,2019-W01,False,0.4751958224543081,0.31592689295039167,0.20887728459530025
Singapore,2019.0,2.0,1.0,291.0,394.0,20.0,8.0,,,,,,,,,,,,,129.0,185.0,19.0,14.0,,,,,,,,,,,,,90.0,122.0,19,5.0,,,,,,,,,,,,,72.0,87.0,22.65312886,1.411122685,,,,,,,,,,,,,22.0,Singapore,1,2019-W02,False,0.44329896907216493,0.30927835051546393,0.24742268041237114
Singapore,2019.0,3.0,1.0,304.0,398.0,20.0,12.0,,,,,,,,,,,,,130.0,185.0,21.0,9.0,,,,,,,,,,,,,103.0,131.0,19,22.0,,,,,,,,,,,,,71.0,82.0,21.74362285,2.446967919,,,,,,,,,,,,,21.0,Singapore,2,2019-W03,False,0.4276315789473684,0.33881578947368424,0.23355263157894737
Singapore,2019.0,4.0,1.0,281.0,378.0,20.0,5.0,315.0,416.0,27.0,10.0,,,,,,,,,126.0,174.0,20.0,6.0,142.0,194.0,33.0,15.0,,,,,,,,,95.0,131.0,19,6.0,102.0,138.0,19.0,10.0,,,,,,,,,60.0,73.0,21.4782963,2.184069444,71.0,84.0,22.0,2.0,,,,,,,,,19.0,Singapore,3,2019-W04,False,0.4483985765124555,0.33807829181494664,0.21352313167259787
Singapore,2019.0,5.0,1.0,280.0,379.0,21.0,14.0,289.0,387.0,20.0,10.0,,,,,,,,,134.0,186.0,20.0,25.0,130.0,183.0,20.0,14.0,,,,,,,,,78.0,114.0,20,6.0,92.0,125.0,19.0,10.0,,,,,,,,,68.0,79.0,23.38602533,1.435874183,68.0,80.0,22.0,2.0,,,,,,,,,21.0,Singapore,4,2019-W05,False,0.4785714285714286,0.2785714285714286,0.24285714285714285
Singapore,2019.0,6.0,2.0,294.0,399.0,21.0,10.0,290.0,389.0,20.0,10.0,,,,,,,,,141.0,199.0,19.0,13.0,133.0,186.0,20.0,13.0,,,,,,,,,90.0,121.0,20,10.0,92.0,124.0,20.0,11.0,,,,,,,,,63.0,79.0,24.31222222,2.563492063,66.0,78.0,23.0,2.0,,,,,,,,,20.0,Singapore,5,2019-W06,False,0.47959183673469385,0.30612244897959184,0.21428571428571427
Singapore,2019.0,7.0,2.0,301.0,415.0,24.0,21.0,289.0,393.0,21.0,12.0,,,,,,,,,126.0,196.0,20.0,15.0,132.0,189.0,20.0,15.0,,,,,,,,,95.0,128.0,22,37.0,90.0,124.0,20.0,15.0,,,,,,,,,80.0,91.0,32.51491667,10.35256597,68.0,81.0,25.0,4.0,,,,,,,,,22.0,Singapore,6,2019-W07,False,0.4186046511627907,0.31561461794019935,0.26578073089701
Singapore,2019.0,8.0,2.0,260.0,382.0,29.0,10.0,284.0,394.0,23.0,14.0,299.0,405.0,25.0,12.0,,,,,125.0,191.0,34.0,14.0,132.0,193.0,23.0,17.0,137.0,193.0,28.0,16.0,,,,,80.0,118.0,22,11.0,86.0,120.0,21.0,16.0,94.0,129.0,20.0,13.0,,,,,55.0,73.0,27.01926768,2.272535354,67.0,81.0,27.0,4.0,69.0,82.0,24.0,3.0,,,,,19.0,Singapore,7,2019-W08,False,0.4807692307692308,0.3076923076923077,0.21153846153846154
Singapore,2019.0,9.0,2.0,281.0,385.0,22.0,9.0,284.0,395.0,24.0,13.0,287.0,391.0,22.0,11.0,,,,,133.0,198.0,20.0,10.0,131.0,196.0,23.0,13.0,131.0,189.0,22.0,13.0,,,,,83.0,108.0,22,13.0,87.0,119.0,21.0,18.0,89.0,122.0,20.0,14.0,,,,,65.0,79.0,25.99951709,3.189675214,66.0,81.0,27.0,5.0,67.0,80.0,25.0,3.0,,,,,21.0,Singapore,8,2019-W09,False,0.47330960854092524,0.29537366548042704,0.2313167259786477
Singapore,2019.0,10.0,3.0,283.0,402.0,22.0,9.0,281.0,396.0,24.0,12.0,286.0,392.0,22.0,11.0,,,,,125.0,187.0,20.0,5.0,127.0,193.0,24.0,11.0,130.0,190.0,22.0,12.0,,,,,95.0,132.0,21,17.0,88.0,122.0,22.0,19.0,90.0,123.0,21.0,15.0,,,,,63.0,83.0,26.19094356,3.574016755,66.0,82.0,28.0,5.0,66.0,80.0,25.0,4.0,,,,,21.0,Singapore,9,2019-W10,False,0.4416961130742049,0.33568904593639576,0.2226148409893993
